Order_ID,Product,Region,Units_Sold,Unit_Price,Revenue,Sales_Rep,Month,Order_Date
ORD097,Laptop,KwaZulu-Natal,17,19554,332418,Rep-7,April,4/11/2024
ORD098,Smartwatch,KwaZulu-Natal,41,16712,685192,Rep-19,January,1/4/2024
ORD099,Laptop,Free State,14,17088,239232,Rep-10,February,2/26/2024
ORD100,Printer,North West,43,22432,964576,Rep-9,March,5/17/2024
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Row Labels,Sum of Revenue,,,,,,
,External Hard Drive,2839222,,,,,,
,Headphones,4103350,,,,,,
,Laptop,3812457,,,,,,
,Printer,5669794,,,,,,
,Smartphone,5232187,,,,,,
,Smartwatch,6370590,,,,,,
,Tablet,7267738,,,,,,
,Grand Total,35295338,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Row Labels,Sum of Revenue,,,,,,
,Eastern Cape,2981638,,,,,,
,Free State,3359398,,,,,,
,Gauteng,6231531,,,,,,
,KwaZulu-Natal,3560630,,,,,,
,Limpopo,3614655,,,,,,
,North West,6201288,,,,,,
,Western Cape,9346198,,,,,,
,Grand Total,35295338,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Row Labels,Sum of Revenue,,,,,,
,External Hard Drive,2839222,,,,,,
,Headphones,4103350,,,,,,
,Laptop,3812457,,,,,,
,Printer,5669794,,,,,,
,Smartphone,5232187,,,,,,
,Smartwatch,6370590,,,,,,
,Tablet,7267738,,,,,,
,Grand Total,35295338,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,https://colab.research.google.com/drive/1qswJMdBv-9lZFN6YB30ddFVGf8mr2aPr?usp=sharing,,,,,,,
